"","word","sentiment","n"
"1","love","positive",3154
"2","classic","positive",2654
"3","excel","positive",1754
"4","fun","positive",1666
"5","bad","negative",1335
"6","entertain","positive",1043
"7","wonder","positive",824
"8","worth","positive",793
"9","disappoint","negative",734
"10","perfect","positive",598
"11","worst","negative",469
"12","nice","positive",458
"13","brilliant","positive",448
"14","dead","negative",427
"15","wow","positive",423
"16","hard","negative",394
"17","bore","negative",388
"18","top","positive",368
"19","miss","negative",360
"20","cute","positive",355
"21","enjoy","positive",343
"22","poor","negative",335
"23","dark","negative",329
"24","plot","negative",296
"25","fast","positive",262
"26","cool","positive",240
"27","decent","positive",237
"28","die","negative",231
"29","twist","negative",231
"30","sweet","positive",225
"31","superb","positive",218
"32","fine","positive",209
"33","lost","negative",198
"34","flaw","negative",196
"35","hell","negative",193
"36","solid","positive",193
"37","super","positive",188
"38","wrong","negative",187
"39","modern","positive",186
"40","gem","positive",184
"41","charm","positive",180
"42","hate","negative",180
"43","delight","positive",178
"44","slow","negative",178
"45","magic","positive",164
"46","pure","positive",164
"47","stun","negative",161
"48","sad","negative",158
"49","fiction","negative",152
"50","suck","negative",151
"51","humor","positive",150
"52","recommend","positive",147
"53","haunt","negative",146
"54","stupid","negative",146
"55","kill","negative",140
"56","disturb","negative",135
"57","murder","negative",135
"58","lack","negative",134
"59","finest","positive",132
"60","master","positive",132
"61","thrill","positive",129
"62","fall","negative",124
"63","impress","positive",118
"64","hero","positive",115
"65","strong","positive",114
"66","free","positive",109
"67","marvel","positive",109
"68","death","negative",108
"69","pleas","negative",108
"70","weak","negative",102
"71","killer","negative",101
"72","spectacular","positive",101
"73","hot","positive",100
"74","burn","negative",93
"75","lover","positive",93
"76","depress","negative",92
"77","chill","negative",90
"78","crap","negative",90
"79","lose","negative",90
"80","angel","positive",89
"81","evil","negative",89
"82","scare","negative",88
"83","shine","positive",88
"84","talent","positive",87
"85","win","positive",87
"86","pleasant","positive",86
"87","crime","negative",85
"88","hype","negative",85
"89","winner","positive",85
"90","dumb","negative",84
"91","rip","negative",84
"92","abyss","negative",83
"93","clever","positive",82
"94","smart","positive",82
"95","dull","negative",81
"96","mad","negative",81
"97","ruin","negative",79
"98","bother","negative",78
"99","sick","negative",78
"100","doubt","negative",77
"101","monster","negative",77
"102","lame","negative",76
"103","broken","negative",75
"104","mess","negative",75
"105","break","negative",73
"106","weird","negative",73
"107","critic","negative",72
"108","honest","positive",72
"109","faith","positive",71
"110","pain","negative",71
"111","devil","negative",70
"112","glad","positive",70
"113","tough","positive",70
"114","shame","negative",69
"115","limit","negative",68
"116","shock","negative",67
"117","fair","positive",66
"118","brutal","negative",64
"119","warm","positive",64
"120","trash","negative",62
"121","overlook","negative",60
"122","success","positive",60
"123","fool","negative",59
"124","grace","positive",59
"125","loss","negative",59
"126","addict","negative",58
"127","demon","negative",57
"128","heaven","positive",57
"129","strike","negative",57
"130","gangster","negative",56
"131","gold","positive",56
"132","odd","negative",56
"133","scariest","negative",56
"134","wild","negative",55
"135","fresh","positive",54
"136","safe","positive",54
"137","superior","positive",53
"138","fail","negative",52
"139","golden","positive",52
"140","grand","positive",52
"141","poignant","positive",52
"142","silent","positive",52
"143","cry","negative",51
"144","cold","negative",50
"145","fat","negative",49
"146","lead","positive",49
"147","blah","negative",47
"148","hurt","negative",47
"149","rich","positive",47
"150","stranger","negative",47
"151","fear","negative",46
"152","great","positive",46
"153","joke","negative",46
"154","steal","negative",46
"155","terror","negative",46
"156","mislead","negative",45
"157","tension","negative",45
"158","violent","negative",45
"159","bomb","negative",44
"160","honor","positive",44
"161","triumph","positive",44
"162","refresh","positive",43
"163","complex","negative",42
"164","blow","negative",41
"165","cheap","negative",40
"166","loud","negative",40
"167","pointless","negative",40
"168","smile","positive",40
"169","bland","negative",39
"170","bravo","positive",39
"171","damn","negative",39
"172","surreal","positive",39
"173","heck","negative",38
"174","uneven","negative",38
"175","respect","positive",37
"176","trick","negative",37
"177","clean","positive",36
"178","correct","positive",36
"179","propaganda","negative",36
"180","smell","negative",36
"181","stylish","positive",36
"182","difficult","negative",35
"183","profound","positive",35
"184","stellar","positive",35
"185","ugh","negative",35
"186","mar","negative",34
"187","redeem","positive",34
"188","uplift","positive",34
"189","appeal","positive",33
"190","attack","negative",33
"191","defect","negative",33
"192","dread","negative",33
"193","freak","negative",33
"194","passion","positive",33
"195","tragic","negative",33
"196","danger","negative",32
"197","dawn","positive",32
"198","dick","negative",32
"199","sharp","positive",32
"200","award","positive",31
"201","frost","negative",31
"202","glitter","positive",31
"203","mindless","negative",31
"204","shallow","negative",31
"205","suspect","negative",31
"206","junk","negative",30
"207","proud","positive",30
"208","worthless","negative",30
"209","yawn","negative",30
"210","disgust","negative",29
"211","enchant","positive",29
"212","knock","negative",29
"213","splendid","positive",29
"214","stink","negative",29
"215","well","positive",29
"216","fake","negative",28
"217","fever","negative",28
"218","good","positive",28
"219","hang","negative",28
"220","harsh","negative",28
"221","insult","negative",28
"222","lethal","negative",28
"223","fav","positive",27
"224","idiot","negative",27
"225","bright","positive",26
"226","crash","negative",26
"227","prison","negative",26
"228","punch","negative",26
"229","quiet","positive",26
"230","scratch","negative",26
"231","scream","negative",26
"232","cheer","positive",25
"233","frighten","negative",25
"234","misunderstood","negative",25
"235","error","negative",24
"236","lie","negative",24
"237","rough","negative",24
"238","smash","negative",24
"239","support","positive",24
"240","trust","positive",24
"241","won","positive",24
"242","bleak","negative",23
"243","ripoff","negative",23
"244","smoke","negative",23
"245","like","positive",22
"246","pig","negative",22
"247","pride","positive",22
"248","reward","positive",22
"249","split","negative",22
"250","blind","negative",21
"251","bug","negative",21
"252","hollow","negative",21
"253","obsess","negative",21
"254","rubbish","negative",21
"255","sin","negative",21
"256","spoil","negative",21
"257","afraid","negative",20
"258","astonish","positive",20
"259","complaint","negative",20
"260","confess","negative",20
"261","fatal","negative",20
"262","hack","negative",20
"263","heroic","positive",20
"264","paramount","positive",20
"265","prefer","positive",20
"266","punk","negative",20
"267","favor","positive",19
"268","hoodwink","negative",19
"269","slick","positive",19
"270","suffer","negative",19
"271","wreck","negative",19
"272","absurd","negative",18
"273","bargain","positive",18
"274","crack","negative",18
"275","crude","negative",18
"276","darker","negative",18
"277","drag","negative",18
"278","dud","negative",18
"279","enlighten","positive",18
"280","excelent","positive",18
"281","inferior","negative",18
"282","trap","negative",18
"283","astound","positive",17
"284","bless","positive",17
"285","endear","positive",17
"286","enthral","positive",17
"287","enthusiast","positive",17
"288","fave","positive",17
"289","grim","negative",17
"290","humour","positive",17
"291","myth","negative",17
"292","pan","negative",17
"293","regret","negative",17
"294","splendor","positive",17
"295","bias","negative",16
"296","calm","positive",16
"297","desert","negative",16
"298","drunk","negative",16
"299","hoax","negative",16
"300","incorrect","negative",16
"301","lone","negative",16
"302","popular","positive",16
"303","sink","negative",16
"304","bliss","positive",15
"305","butcher","negative",15
"306","clash","negative",15
"307","fell","negative",15
"308","gross","negative",15
"309","racist","negative",15
"310","relief","positive",15
"311","tender","positive",15
"312","assassin","negative",14
"313","bitter","negative",14
"314","corrupt","negative",14
"315","cure","positive",14
"316","exploit","negative",14
"317","fault","negative",14
"318","flawless","positive",14
"319","heartfelt","positive",14
"320","mania","negative",14
"321","patient","positive",14
"322","puppet","negative",14
"323","shark","negative",14
"324","spellbind","positive",14
"325","doom","negative",13
"326","freedom","positive",13
"327","hail","positive",13
"328","hells","negative",13
"329","lean","positive",13
"330","prompt","positive",13
"331","protect","positive",13
"332","punish","negative",13
"333","shake","negative",13
"334","soft","positive",13
"335","survivor","positive",13
"336","unknown","negative",13
"337","vulgar","negative",13
"338","champion","positive",12
"339","complain","negative",12
"340","distort","negative",12
"341","dust","negative",12
"342","grate","negative",12
"343","moron","negative",12
"344","saint","positive",12
"345","spellbound","positive",12
"346","spite","negative",12
"347","thinner","positive",12
"348","whoa","positive",12
"349","wonderful","positive",12
"350","blame","negative",11
"351","boom","positive",11
"352","comfort","positive",11
"353","crush","negative",11
"354","exhaust","negative",11
"355","hater","negative",11
"356","hum","negative",11
"357","imperfect","negative",11
"358","liar","negative",11
"359","loser","negative",11
"360","miser","negative",11
"361","neglect","negative",11
"362","object","negative",11
"363","patriot","positive",11
"364","poetic","positive",11
"365","priceless","positive",11
"366","progress","positive",11
"367","right","positive",11
"368","smooth","positive",11
"369","stole","negative",11
